frame,V_cc,V_td,E_cc,E_td
1,276.8,2850.7,606.9,429.7
2,254.2,2511.1,503.4,622.5
3,232.9,2581.9,406.6,801.0
4,210.3,2567.1,165.9,667.0
5,224.5,2369.8,185.4,533.3
