frame,V_cc,V_td,E_cc,E_td
1,259.2,2230.8,364.4,163.8
2,261.4,2842.6,606.6,698.3
3,262.6,3070.5,504.0,804.4
4,229.2,2616.7,267.6,687.1
5,258.9,2794.3,214.0,534.2
6,249.4,3365.4,124.3,426.5
