frame,V_cc_uL,V_td_uL,HU_cc_mean,HU_cc_median,HU_td_mean,HU_td_median
0,3247.4,838.1,904.2,646.0,270.5,219.0
1,3404.8,1438.3,897.6,665.0,326.2,266.0
2,4172.1,5057.8,1223.0,808.0,415.6,302.0
3,4025.7,5699.5,1353.2,922.0,485.1,318.0
4,3945.2,5982.5,1327.6,900.0,442.7,309.0
5,3852.5,5211.5,1153.7,704.5,345.7,266.0
