frame,V_cc,V_td,E_cc,E_td
1,138.1,3719.5,381.1,648.9
2,116.6,3593.5,197.6,678.9
3,123.9,3320.7,271.4,544.4
4,121.7,2273.4,180.6,401.8
5,127.3,2262.2,155.0,167.1
