frame,V_cc,V_td,E_cc,E_td
1,96.6,398.6,536.6,443.7
2,97.6,1976.6,802.0,1582.0
3,88.8,3050.0,332.5,1896.5
4,103.5,3431.4,291.6,1884.6
5,118.1,3398.6,237.9,1779.3
