frame,V_cc,V_td,E_cc,E_td
1,124.5,488.8,676.4,544.2
2,120.9,750.0,1115.2,1951.7
3,114.8,894.6,933.5,1998.2
4,91.5,864.8,628.6,2021.7
5,92.9,764.1,398.6,1372.2
6,88.1,643.1,227.9,892.3
