frame,V_cc,V_td,E_cc,E_td
1,78.3,1163.7,450.7,1348.2
2,62.5,1411.8,301.5,1435.7
3,69.7,944.1,397.8,1226.3
4,59.4,648.2,238.8,1479.3
5,nan,349.6,0.0,754.3
