frame,V_cc,V_td,E_cc,E_td
1,140.3,913.7,971.8,707.8
2,104.8,840.6,919.3,1317.7
3,113.5,1160.0,801.3,1581.1
4,76.3,937.9,362.3,1353.0
5,109.3,899.0,382.6,1133.4
